Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Orion Kerkering","PHI",3,122.03,84.78,,,128.52392156862746,,,,,126.929,108.95566666666667,133.3273333333333,"Orion Kerkering",31776,689147
"José Alvarado","PHI",41.1,,126.1000458715596,135.5147058823529,,,,,,,130.0153513513514,102.80267567567569,132.5248378378378,"Jose Alvarado",17780,621237
"Ryan Helsley","STL",36.2,121.52445747800587,,,,141.86430493273542,129.94418604651165,,,,129.66320661157022,100.28095867768596,128.5925289256198,"Ryan Helsley",18138,664854
"Emmanuel Clase","CLE",72.2,120.676,,130.72549537648615,,145.70804469273745,,,,,135.4003414195867,95.16271338724172,128.2502964959568,"Emmanuel Clase",21032,661403
"Jacob deGrom","TEX",30.1,116.00578723404256,,,,132.2853892215569,139.9888888888889,106.32300000000001,,,121.66471111111112,105.64911111111111,128.04844444444444,"Jacob deGrom",10954,594798
"Jonathan Loáisiga","NYY",17.2,92.91142857142859,128.07296969696972,,,,120.91411764705884,96.95913043478262,,,121.9286808510638,108.48485106382978,127.96825531914895,"Jonathan Loaisiga",19753,642528
"Félix Bautista","BAL",61,133.30556851311957,,,151.0364166666667,110.01545454545452,,,,,136.6016473072862,89.26215417106654,126.6585850052798,"Felix Bautista",20666,642585
"Tyler Rogers","SFG",74,,123.76877959927137,,,134.83104089219324,,,,,129.14536862003777,104.35652173913041,126.55145557655958,"Tyler Rogers",15541,643511
"Yennier Cano","BAL",72.2,87.57058823529412,121.24800711743774,,,116.61884892086336,,99.87290780141845,,,113.65131736526943,114.20413173652696,126.53209580838322,"Yennier Cano",25911,666974
"Pete Fairbanks","TBR",45.1,140.35825352112678,,,,146.64083333333332,,90.78,,,143.23391910739193,84.27283124128314,124.46122733612276,"Pete Fairbanks",17998,664126
"Jhoan Duran","MIN",62.1,119.00428884026256,,,141.21812949640287,,142.97624113475175,,,,131.80369930761628,93.42023738872409,123.76528189910974,"Jhoan Duran",21029,661395
"Craig Kimbrel","PHI",69,120.89066312997349,,,,,,,123.26005434782611,,121.37010752688168,102.6926164874552,122.73467741935482,"Craig Kimbrel",6655,518886
"Brusdar Graterol","LAD",67.1,80.75553267784846,122.43654320987653,86.58265751940785,,132.81371681415933,,,,,112.92506871828382,113.5646273835153,122.43196015300627,"Brusdar Graterol",20367,660813
"Jeffrey Springs","TBR",16,104.745,,,,109.56692307692308,,115.72140845070425,,,109.11961904761905,113.86209523809524,122.2472380952381,"Jeffrey Springs",17677,605488
"Tanner Scott","MIA",78,112.1686013986014,,,,128.64496855345908,,,,,120.87820448877801,103.9166583541147,122.04844555278468,"Tanner Scott",17586,656945
"DL Hall","BAL",19.1,103.13366834170854,,,,112.01533980582525,104.86470588235295,106.35147540983606,,,106.14835579514825,117.30167115902961,122.01870619946087,"DL Hall",22207,669084
"Griffin Jax","MIN",65.1,90.30093617021275,112.2682089552239,102.17800000000001,,119.77764918625674,,110.9886956521739,,,110.9292292870906,111.40292870905586,121.69040462427739,"Griffin Jax",20253,643377
"Zack Wheeler","PHI",192,115.3607969924812,120.3290287769784,102.99448747152618,,112.69160762942776,117.19689655172415,85.23230769230771,,,114.26473217219845,107.34542228064406,121.6838251725271,"Zack Wheeler",10310,554430
"Gregory Santos","CHW",66.1,87.52869565217391,105.10650655021828,,,120.46974637681157,,95.73733333333332,,,112.66207892204042,108.95251203079881,120.27813282001928,"Gregory Santos",21894,666619
"Aroldis Chapman","- - -",58.1,103.15178423236516,168.5624539877301,,134.83429429429427,123.70907216494844,,,,,122.0180724577236,98.05885838967656,119.7032044954728,"Aroldis Chapman",10233,547973
"Ryan Pressly","HOU",65.1,101.1658227848101,109.34,110.35333333333334,,117.12356097560978,114.27562264150946,111.56879120879121,,,111.96760199004977,106.40722388059704,119.24127363184078,"Ryan Pressly",7005,519151
"A.J. Puk","MIA",56.2,108.89377319587625,112.81625000000001,,104.4,128.2124938271605,,113.185,,,117.36506892895012,106.82127253446446,119.21730646871687,"A.J. Puk",19343,640462
"Blair Calvo","COL",1,,109.64000000000001,,,83.9,,,,,95.60000000000001,108.62909090909092,118.97272727272725,"Blair Calvo",25416,663971
"Kenley Jansen","BOS",44.2,,124.34615384615383,125.86838028169012,,107.08494117647058,,,,,123.4102928870293,99.0781032078103,118.53620641562065,"Kenley Jansen",3096,445276
"Vinny Nittoli","NYM",3.2,,93.67999999999999,102.74,,107.8095,,,,,100.91555555555557,113.70666666666668,117.91185185185188,"Vinny Nittoli",16754,657697
"Camilo Doval","SFG",67.2,,106.45351351351349,114.81174603174605,,126.12590243902442,,,,,116.4718806509945,101.58401446654611,117.75969258589511,"Camilo Doval",21992,666808
"Beau Brieske","DET",35,97.72756972111554,107.36776859504133,,,115.79725490196078,,107.40373333333334,,,104.12757200621711,112.39008189758265,117.71418862311141,"Beau Brieske",26079,689225
"Andrés Muñoz","SEA",49,112.1474157303371,120.11647798742139,,,134.08786967418547,,,,,124.37453416149057,95.61314285714282,117.63828571428571,"Andres Munoz",20373,662253
"Steven Wilson","SDP",53,108.48369905956118,,138.2,,128.12106227106224,,93.25259259259259,,,119.17628013777266,99.92270952927664,117.36153846153844,"Steven Wilson",20353,621051
"José Rodríguez","SEA",3,91.12,94.42,,,100.2,,111.86,,,99.69208333333334,118.30958333333335,117.06500000000001,"Jose Rodriguez",17860,642578
"Elvin Rodriguez","TBR",3.1,111.2,,,,103.1,95.8,94.04,,,105.0931914893617,111.3872340425532,116.91531914893613,"Elvin Rodriguez",20962,660730
"Guillo Zuñiga","STL",2,93.33999999999999,,,,148.35999999999999,,116.56,,,116.17209302325583,103.79581395348838,116.79116279069768,"Guillo Zuniga",19588,670871
"Gregory Soto","PHI",60.1,108.49714285714286,110.61368421052633,,,118.5526790450929,,98.53999999999999,,,115.70357005758156,106.19754318618045,116.67760076775437,"Gregory Soto",19677,642397
"Yu Darvish","SDP",136.1,117.86273504273504,103.73597087378641,93.5808938547486,98.43388535031846,97.44795039164491,102.75085714285714,100.1,95.14625850340136,,105.98019352437665,109.96283587644217,116.27799032378114,"Yu Darvish",13074,506433
"Drew Rasmussen","TBR",44.2,116.40180904522614,113.74878048780488,108.29909090909089,,119.90921568627451,103.0591836734694,,,,112.68803007518797,106.92478195488724,116.21338345864666,"Drew Rasmussen",25385,656876
"Paul Sewald","- - -",60.2,121.74774991725901,,,,113.73040292586164,,,,,118.45363833337538,101.03585058363724,116.07017934106689,"Paul Sewald",13892,623149
"Jason Foley","DET",69,97.96,113.05189488243431,,,111.03582417582412,,83.95640287769784,,,108.75858373205746,109.36662200956934,116.05178947368425,"Jason Foley",19531,671345
"Joe Jiménez","ATL",56.1,113.23770154373923,,,,106.95170731707317,,84.08939393939393,,,109.2975107296137,108.84570815450644,115.3314806866953,"Joe Jimenez",15761,641729
"Gerardo Reyes","LAA",9.2,112.6537288135593,102.28785714285716,,,116.34371428571428,,,,,112.50616822429905,104.78205607476636,115.04850467289717,"Gerardo Reyes",16306,622103
"Spencer Strider","ATL",186.2,115.17486103233126,,,,114.42269155206284,,93.19411764705882,,,113.2808608608609,103.44417751084424,115.01138471805139,"Spencer Strider",27498,675911
"A.J. Minter","ATL",64.2,109.92335378323111,,121.8551231527094,,,,110.85236111111111,,,114.69077071290941,102.15639691714838,114.9062042389209,"A.J. Minter",18655,621345
"Jhony Brito","NYY",90.1,80.20408333333333,110.92362869198313,,,121.13402606032179,,106.8355714285714,100.30251655629138,,105.1307684077313,109.450184688068,114.90357535474284,"Jhony Brito",25386,666745
"Gabe Speier","SEA",54.2,112.10753086419754,111.91737430167598,,,118.62144578313244,,98.62769230769233,,,113.69818652849746,106.79598445595857,114.80818652849736,"Gabe Speier",17170,642100
"Sandy Alcantara","MIA",184.2,99.74670120898101,114.32802531645571,,,112.01350364963506,110.08633333333334,110.37545698924734,,,109.59778270509979,105.60131559497412,114.76290465631918,"Sandy Alcantara",18684,645261
"Trevor Megill","MIL",34.2,116.8564814814815,,,,,,,129.69209580838321,,120.43114979733629,96.47223565752796,114.71722758366563,"Trevor Megill",17722,656730
"Chris Devenski","- - -",42.1,83.69237037037037,,,,122.93822170373564,,126.21662857142857,113.46000000000001,,112.79630804234384,103.33072388820445,114.71243456106835,"Chris Devenski",12763,606965
