Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Izaac Pacheco","DET",110,459,425,89,57,19,2,11,43,48,30,10,164,2,2,0,0,3,1,0.209412,0.0653595,0.357298,0.182927,0.263617,0.341176,0.256215,0.604793,0.131765,4.07268,0.309524,,-0.428508,33.7569,-19.936,65.2083,-0.428508,3.4,-18.700846642255783,5.08650803565979,0.174195,999,,,,,,,342.2,3.11090909,342.2,3.11090909,,,,,,,,,,,,,,,,,,,"Izaac Pacheco","sa3016969",691789
"Jalen Vasquez","BAL",103,383,341,70,48,15,3,4,40,32,39,1,110,2,1,0,0,17,5,0.205279,0.101828,0.287206,0.354545,0.289817,0.302053,0.26632,0.59187,0.0967742,6.63694,0.289474,,0.680435,31.2826,-13.52,73.75,0.680435,-4.5,-10.823150038719177,-0.27821874618530273,0.172075,999,,,,,,,290.5,2.820388349,290.5,2.820388349,,,,,,,,,,,,,,,,,,,"Jalen Vasquez","sa3022920",694884
"Andy Blake",,76,276,251,51,36,7,1,7,27,24,19,1,74,2,1,3,0,7,1,0.203187,0.0688406,0.268116,0.256757,0.263736,0.322709,0.258473,0.586445,0.119522,5.45562,0.25731,,0.553018,20.7999,-11.4861,63.8339,0.553018,2.3,-10.868319153785706,3.3141093254089355,0.170036,999,,,,,,,199.9,2.630263157,199.9,2.630263157,,,,,,,,,,,,,,,,,,,"Andy Blake","sa3022535",701544
"Dayan Frias","CLE",123,487,434,92,66,18,2,6,45,44,44,10,129,4,3,2,0,4,4,0.211982,0.0903491,0.264887,0.341085,0.28866,0.304147,0.258024,0.592807,0.0921659,3.56483,0.284768,,-1.64084,36.5255,-20.4429,66.5337,-1.64084,3.9,-20.289273142814636,5.689388632774353,0.168809,999,,,,,,,341.6,2.777235772,341.6,2.777235772,,,,,,,,,,,,,,,,,,,"Dayan Frias","sa3008768",682679
"Frainyer Chavez","TEX",107,403,364,79,62,12,2,3,37,33,31,8,101,3,2,3,1,8,3,0.217033,0.0769231,0.25062,0.306931,0.2825,0.285714,0.247599,0.568214,0.0686813,4.77841,0.290076,,-0.309552,26.8436,-20.2985,57.974,-0.309552,6.4,-19.68844336271286,7.8807467222213745,0.167983,999,,,,,,,261.6,2.444859813,261.6,2.444859813,,,,,,,,,,,,,,,,,,,"Frainyer Chavez","sa3007019",669413
"Luke Ritter","NYM",109,455,399,79,49,15,1,14,47,55,45,12,167,9,2,0,0,3,1,0.197995,0.0989011,0.367033,0.269461,0.292308,0.345865,0.27433,0.638172,0.14787,3.57021,0.295455,,-0.523217,40.0965,-13.1285,77.8229,-0.523217,7.4,-12.589633584022522,-0.9590535163879395,0.165582,999,,,,,,,389.1,3.56972477,389.1,3.56972477,,,,,,,,,,,,,,,,,,,"Luke Ritter","sa3009878",682239
"Manuel Margot",,106,346,318,80,57,17,1,5,37,35,23,7,58,2,2,1,0,5,2,0.251572,0.066474,0.16763,0.396552,0.304348,0.358491,0.283691,0.662838,0.106918,4.27119,0.291829,,-0.401944,33.098,-7.37646,84.0206,-0.401944,0.6,-6.728132575750351,-3.2139328718185425,0.164421,999,,,,,,,310.9,2.933018867,310.9,2.933018867,,,,,,,,,,,,,,,,,,,"Manuel Margot","14712",622534
"Mason Auer","TBR",112,459,419,89,59,17,5,8,49,49,30,6,136,6,2,2,0,21,7,0.21241,0.0653595,0.296296,0.220588,0.273523,0.334129,0.262867,0.607652,0.121718,7.17875,0.292419,,0.66253,36.2146,-17.4784,72.7472,0.66253,5,-13.650436758995056,-0.059523582458496094,0.16432,999,,,,,,,360.7,3.220535714,360.7,3.220535714,,,,,,,,,,,,,,,,,,,"Mason Auer","sa3017791",687020
"Duce Gourson","PIT",25,110,93,18,13,5,0,0,12,10,11,0,25,6,0,0,0,2,1,0.193548,0.1,0.227273,0.44,0.318182,0.247312,0.269419,0.565494,0.0537634,4.20055,0.264706,,-0.241779,9.25889,-3.6087,68.4171,-0.241779,1.9,-4.396160826086998,2.30417400598526,0.162262,999,,,,,,,74.3,2.972,74.3,2.972,,,,,,,,,,,,,,,,,,,"Duce Gourson","sa3025248",701546
"Matt Rudick","NYM",101,432,377,80,54,19,1,6,47,45,44,4,99,9,2,0,0,7,3,0.212202,0.101852,0.229167,0.444444,0.30787,0.31565,0.278928,0.62352,0.103448,4.23267,0.270073,,-0.627939,39.6687,-10.8658,80.9182,-0.627939,2.4,-10.485385358333588,-2.3619046211242676,0.158918,999,,,,,,,352.1,3.486138613,352.1,3.486138613,,,,,,,,,,,,,,,,,,,"Matt Rudick","sa3017334",689822
"Onil Perez","SFG",87,383,348,79,60,15,2,2,37,32,27,12,64,5,3,0,0,11,3,0.227011,0.0704961,0.167102,0.421875,0.289817,0.298851,0.250502,0.588668,0.0718391,5.40756,0.270175,,0.353587,26.4065,-18.3961,60.2387,0.353587,-0.4,-17.856866002082825,6.636302083730698,0.158399,999,,,,,,,276.6,3.179310344,276.6,3.179310344,,,,,,,,,,,,,,,,,,,"Onil Perez","sa3015610",692366
"David Mershon","LAA",34,150,136,34,25,7,0,2,15,12,11,2,38,1,1,1,0,3,1,0.25,0.0733333,0.253333,0.289474,0.308725,0.345588,0.284663,0.654313,0.0955882,3.71588,0.329897,,-0.0812412,14.4662,-3.08051,82.2566,-0.0812412,-0.9,-3.126567654311657,-0.34885358810424805,0.157489,999,,,,,,,132.4,3.894117647,132.4,3.894117647,,,,,,,,,,,,,,,,,,,"David Mershon","sa3025335",702574
"Collin Price","HOU",90,351,312,63,40,14,0,9,31,37,33,4,102,3,3,0,0,3,1,0.201923,0.0940171,0.290598,0.323529,0.282051,0.333333,0.269229,0.615385,0.13141,2.72847,0.264706,,-0.373261,29.4907,-11.5686,74.7172,-0.373261,-6.1,-10.52728396654129,0.34841299057006836,0.157178,999,,,,,,,276.9,3.076666666,276.9,3.076666666,,,,,,,,,,,,,,,,,,,"Collin Price","sa3019935",805672
"Bill Knight","SEA",105,449,398,79,55,15,2,7,53,50,29,9,132,19,2,1,0,17,4,0.198492,0.064588,0.293987,0.219697,0.283482,0.298995,0.255818,0.582477,0.100503,6.67459,0.275862,,1.03809,32.8781,-19.6451,70.1178,1.03809,-0.8,-14.31390118598938,0.849764883518219,0.15528,999,,,,,,,330.2,3.144761904,330.2,3.144761904,,,,,,,,,,,,,,,,,,,"Bill Knight","sa3019965",681098
