event,pitcher_hand,batter_hand,balls,strikes,delta_run_exp
called_strike,R,L,1,0,-0.047682132
called_strike,R,L,1,1,-0.058679221
called_strike,R,L,2,0,-0.060724975
called_strike,R,L,2,1,-0.067444373
called_strike,R,L,3,0,-0.068132194
called_strike,R,L,3,1,-0.077066418
double,R,L,0,0,0.787066187
double,R,L,0,1,0.778187817
double,R,L,0,2,0.875251073
double,R,L,1,0,0.743407557
double,R,L,1,1,0.757579841
double,R,L,1,2,0.833421656
double,R,L,2,0,0.663538462
double,R,L,2,1,0.706669847
double,R,L,2,2,0.800084024
double,R,L,3,0,0.690681818
double,R,L,3,1,0.618571429
double,R,L,3,2,0.689104704
field_out,R,L,0,0,-0.252884042
field_out,R,L,0,1,-0.218948308
field_out,R,L,0,2,-0.163702841
field_out,R,L,1,0,-0.291142596
field_out,R,L,1,1,-0.240500736
field_out,R,L,1,2,-0.182517813
field_out,R,L,2,0,-0.349643333
field_out,R,L,2,1,-0.291112684
field_out,R,L,2,2,-0.215712918
field_out,R,L,3,0,-0.474254545
field_out,R,L,3,1,-0.38737027
field_out,R,L,3,2,-0.307337587
foul,R,L,0,0,-0.042103276
foul,R,L,0,1,-0.057805922
foul,R,L,0,2,0
foul,R,L,1,0,-0.049712949
foul,R,L,1,1,-0.061186665
foul,R,L,1,2,0
foul,R,L,2,0,-0.061048429
foul,R,L,2,1,-0.070415763
foul,R,L,2,2,0
foul,R,L,3,0,-0.062286219
foul,R,L,3,1,-0.078992255
foul,R,L,3,2,0
hit_by_pitch,R,L,0,0,0.354146497
hit_by_pitch,R,L,0,1,0.3825
hit_by_pitch,R,L,0,2,0.452984375
hit_by_pitch,R,L,1,0,0.335272059
hit_by_pitch,R,L,1,1,0.361308511
hit_by_pitch,R,L,1,2,0.453554795
hit_by_pitch,R,L,2,0,0.285225
hit_by_pitch,R,L,2,1,0.290573333
hit_by_pitch,R,L,2,2,0.372220264
hit_by_pitch,R,L,3,0,0.146555556
hit_by_pitch,R,L,3,1,0.216272727
hit_by_pitch,R,L,3,2,0.294145833
home_run,R,L,0,0,1.438241617
home_run,R,L,0,1,1.415335537
home_run,R,L,0,2,1.5
home_run,R,L,1,0,1.314820557
home_run,R,L,1,1,1.409269103
home_run,R,L,1,2,1.48259743
home_run,R,L,2,0,1.287188525
home_run,R,L,2,1,1.342564593
home_run,R,L,2,2,1.424251938
home_run,R,L,3,0,1.3394
home_run,R,L,3,1,1.228549356
home_run,R,L,3,2,1.336456604
single,R,L,0,0,0.466135436
single,R,L,0,1,0.506623808
single,R,L,0,2,0.574238889
single,R,L,1,0,0.437409112
single,R,L,1,1,0.48127107
single,R,L,1,2,0.539870267
single,R,L,2,0,0.393508403
