Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Chad Smith","COL",18,,87.40923766816144,,,115.61925233644864,,73.66857142857143,,,96.08071216617209,73.67590504451036,70.27370919881307,"Chad Smith",20190,663385
"Kenny Rosenberg","LAA",10.2,90.49655172413794,,89.92,,83.58,78.32444444444445,100.66676923076923,,,92.55952677029362,73.48514162348877,68.96093436960275,"Kenny Rosenberg",20009,670046
"Jake Brentz","KCR",5.1,97.09922077922077,91.96000000000001,,,95.05,,76.88,,,95.06821705426358,70.77240310077518,68.89271317829457,"Jake Brentz",17783,641394
"Conner Menez","CHC",1,94.7,,,,78.38,124.36,,,,87.77583333333332,73.845,68.06833333333334,"Conner Menez",19199,669214
"Matt Reynolds","CIN",1.1,,,,,,12.340000000000003,,,,43.55904761904762,129.1514285714286,67.99619047619048,"Matt Reynolds",13788,608703
"Jorge Alcala","MIN",2.1,88.292,83.2,,,112.4,,87.48,,,100.26551724137931,70.12344827586206,67.92275862068965,"Jorge Alcala",19459,660896
"R.J. Alvarez","NYM",2.1,84.82,85.74,,,105.7,,87.93999999999998,,,93.068,81.44959999999999,67.7476,"R.J. Alvarez",13401,571439
"Wil Myers","SDP",3.2,,,,,,,,,,43.63116279069768,131.03348837209305,67.72558139534884,"Wil Myers",10047,571976
"Ildemaro Vargas","WSN",1,,,,,,,,,,56.96999999999999,119.60666666666668,67.02999999999999,"Ildemaro Vargas",13324,545121
"Tyler Clippard","WSN",5,97.62,70.63105263157894,,99.10352941176471,78.24,80.996,81.46166666666667,,,82.71238938053098,76.96159292035398,65.5058407079646,"Tyler Clippard",5640,461325
"Garrett Stubbs","PHI",3.2,,,,,,,,,,57.718666666666664,103.19200000000001,65.26933333333332,"Garrett Stubbs",18067,596117
"Phil Gosselin","LAA",1,,,,,66.03999999999999,,,,,66.03999999999999,76.76,65.1,"Phil Gosselin",10953,594838
"Parker Markel","OAK",3,92.02499999999999,,,,107.21878787878788,,,,,100.24459016393443,63.87573770491803,64.94098360655737,"Parker Markel",12106,571917
"Jake Hager","ARI",2.1,,,,,,,,,,27.74814814814815,138.42296296296297,64.62444444444445,"Jake Hager",12198,606993
"Damon Jones","PHI",4.2,89.42212121212121,,,,119.34263157894738,66.36,,,,100.13653846153845,62.0076923076923,63.33596153846155,"Damon Jones",23310,676103
"Jack Mayfield","LAA",1,,,,,,43.72,,,,51.48153846153846,113.85076923076923,63.09076923076923,"Jack Mayfield",15402,608686
"Mike Brosseau","MIL",3,,,,,,,,,,66.41909090909091,90.75681818181818,62.92000000000001,"Mike Brosseau",19683,670712
"Darin Ruf","NYM",2,,,,,,,,,,14.840000000000003,124.26,61.56,"Darin Ruf",9929,573131
"Jace Peterson","MIL",1,,,,,,,,,,36.97,116.06,61.47749999999999,"Jace Peterson",12325,607054
"Charlie Culberson","TEX",2,,,,,84.32,111.74,,,,73.96357142857143,81.44285714285716,59.88571428571429,"Charlie Culberson",3298,518586
"Riley O'Brien","SEA",1,,,73.6,,,103.90000000000002,,,,89.40869565217392,64.67652173913044,59.37478260869567,"Riley O'Brien",20348,676617
"Sam Clay","- - -",5.1,,90.57549295774649,,,92.82631578947367,,89.138,,,90.9245890410959,63.28028493150685,58.91641369863014,"Sam Clay",16279,621348
"Matthew Batten","SDP",2,,,,,,,,,,49.67307692307692,111.10538461538461,58.55692307692308,"Matthew Batten",20157,676946
"Anderson Espinoza","CHC",18.1,72.70789915966388,,,,92.86533333333333,,105.63,,,78.10471698113209,75.51446540880504,58.51415094339622,"Anderson Espinoza",18593,659262
"Francisco Morales","PHI",5,67.15354838709678,,101.17999999999999,,,,,,,87.82784810126581,66.33721518987342,58.24607594936708,"Francisco Morales",22913,672839
"A.J. Alexy","TEX",7,89.10682352941177,,,,100.92176470588235,78.465,77.47846153846153,,,89.29099337748346,63.49139072847683,57.15761589403972,"A.J. Alexy",22343,669935
"Ryan McKenna","BAL",1.1,,,,,,,,,,59.585161290322574,94.43483870967742,56.08129032258064,"Ryan McKenna",19928,663630
"Carson Kelly","ARI",4.2,,,,,,,,,,51.07558823529412,91.73382352941177,53.970588235294116,"Carson Kelly",13620,608348
"Hanser Alberto","LAD",11,,,,,,,,,,55.98855263157893,96.9453947368421,53.24486842105264,"Hanser Alberto",11902,593643
"Harold Castro","DET",4,,,,,,,,,,57.834800000000016,100.41360000000003,52.857600000000005,"Harold Castro",14691,605612
"Albert Pujols","STL",1,,,,,,22.78,,,,49.85851851851852,105.94518518518518,52.202962962962964,"Albert Pujols",1177,405395
"Nick Gordon","MIN",3.2,,,,,,,,,,55.8675294117647,88.31788235294118,51.65176470588235,"Nick Gordon",16337,624503
"Corey Dickerson","STL",1,,,,,,,,,,39.44666666666667,95.04,49.260000000000005,"Corey Dickerson",10762,572816
"Ernie Clement","CLE",2,,,,,,,,,,42.03238095238095,97.49333333333333,48.45142857142857,"Ernie Clement",20352,676391
"Nick Snyder","TEX",1,98.01714285714284,,,,113.32666666666667,139.55333333333334,,,,106.32129032258065,40.5225806451613,48.20451612903226,"Nick Snyder",23493,676766
"Sam Howard","PIT",2,84.1258064516129,,,,101.05185185185184,,,,,92.0051724137931,55.070689655172416,47.322758620689655,"Sam Howard",16265,607572
"Donovan Walton","SFG",1,,,,,,,,,,35.9752380952381,107.21714285714286,47.289523809523814,"Donovan Walton",19314,622268
"Randal Grichuk","COL",1,,,,,34.3,34.82000000000001,,,,34.403999999999996,106.97999999999999,46.471999999999994,"Randal Grichuk",10243,545341
