Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Anthony Santander","TOR",143,606,542,135,71,31,1,32,75,91,53,11,125,7,4,0,2,2,1,0.249077,0.0874587,0.206271,0.424,0.321782,0.487085,0.340591,0.808867,0.238007,2.65078,0.264782,,-0.952097,85.722,14.8332,124.717,-0.952097,-1.9,16.186647295951843,-8.579893946647644,2.87196,999,,,,,,,791.4,5.534265734,791.4,5.534265734,,,,,,,,,,,,,,,,,,,"Anthony Santander","14551",623993
"Byron Buxton","MIN",93,366,330,81,40,21,2,18,56,51,26,2,104,8,2,0,1,6,1,0.245455,0.0710383,0.284153,0.25,0.314208,0.484848,0.340619,0.799056,0.239394,5.93047,0.3,,0.226739,51.7809,8.96694,124.065,0.226739,3.7,10.304661065340042,5.04479718208313,2.84533,999,,,,,,,475.7,5.115053763,475.7,5.115053763,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Ian Happ","CHC",147,611,531,131,77,31,2,21,77,76,71,10,148,5,4,0,2,10,2,0.246704,0.116203,0.242226,0.47973,0.338789,0.431262,0.330514,0.770051,0.184557,4.48813,0.300546,,0.0613708,81.4739,10.0003,114.671,0.0613708,3,10.780528031289577,-3.735008716583252,2.82903,999,,,,,,,742.7,5.052380952,742.7,5.052380952,,,,,,,,,,,,,,,,,,,"Ian Happ","17919",664023
"Matt Wallner","MIN",138,556,481,115,62,28,2,23,67,81,56,6,187,17,2,0,2,5,1,0.239085,0.100719,0.336331,0.299465,0.338129,0.449064,0.339657,0.787194,0.209979,4.15377,0.336996,,-0.423129,78.2312,13.1914,123.388,-0.423129,0.5,14.455940455198288,-5.628747940063477,2.82586,999,,,,,,,697.5,5.054347826,697.5,5.054347826,,,,,,,,,,,,,,,,,,,"Matt Wallner","26466",670242
"Andy Pages","LAD",136,561,499,125,72,28,2,23,79,79,45,7,137,12,5,0,1,3,3,0.250501,0.0802139,0.244207,0.328467,0.324421,0.452906,0.331693,0.777326,0.202405,3.87839,0.296512,,-1.57789,75.3387,9.71403,114.617,-1.57789,-2.3,8.22785234451294,-0.23871254920959473,2.75452,999,,,,,,,678.1,4.986029411,678.1,4.986029411,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Alex Bregman",,135,591,521,129,82,27,1,19,73,75,58,15,78,7,5,0,1,2,1,0.247601,0.0981387,0.13198,0.74359,0.328257,0.412668,0.31489,0.740925,0.165067,2.91052,0.25641,,-1.04681,71.375,2.24101,106.836,-1.04681,1.2,3.575963258743286,3.371516704559326,2.75222,999,,,,,,,660,4.888888888,660,4.888888888,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Dylan Crews","WSN",128,572,516,129,83,26,5,15,69,69,40,10,121,11,5,0,0,26,7,0.25,0.0699301,0.211538,0.330579,0.314685,0.406977,0.307985,0.721662,0.156977,6.80365,0.296104,,1.38629,65.9012,-1.0103,97.3251,1.38629,5.9,-0.44336676597595215,8.001704931259155,2.74786,999,,,,,,,634.1,4.95390625,634.1,4.95390625,,,,,,,,,,,,,,,,,,,"Dylan Crews","33541",686611
"Parker Meadows","DET",134,567,506,121,75,23,6,17,73,67,50,5,127,4,5,2,1,18,6,0.23913,0.0881834,0.223986,0.393701,0.309735,0.409091,0.309384,0.718825,0.16996,6.61539,0.283379,,0.191301,65.9637,-0.362818,102.608,0.191301,3.7,1.8835948705673218,5.7833333015441895,2.7439,999,,,,,,,611.7,4.564925373,611.7,4.564925373,,,,,,,,,,,,,,,,,,,"Parker Meadows","23800",678009
"Dominic Keegan","TBR",105,446,397,98,65,21,2,10,49,53,37,4,102,6,6,0,1,0,0,0.246851,0.0829596,0.2287,0.362745,0.316143,0.38539,0.304056,0.701534,0.138539,2.46786,0.302406,,-0.820812,49.9744,-2.19781,101.72,-0.820812,3.1,0.05711698532104492,11.29370927810669,2.70778,999,,,,,,,447.1,4.258095238,447.1,4.258095238,,,,,,,,,,,,,,,,,,,"Dominic Keegan","sa3020194",681371
"Nick Gonzales","PIT",121,523,473,126,77,32,5,12,68,66,36,6,114,9,4,1,1,4,4,0.266385,0.0688336,0.217973,0.315789,0.327586,0.43129,0.325067,0.758876,0.164905,4.75407,0.324786,,-1.73555,67.4465,6.26692,105.872,-1.73555,4.9,1.9369139671325684,6.821663856506348,2.70329,999,,,,,,,598.1,4.942975206,598.1,4.942975206,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
